EVENT_LOG | OS-Level Chat Server | 2026-04-16 01:54:41
----------------------------------------------------------------
LINE  TIMESTAMP_MS   EVENT              TID    ROOM   SEM    MSGS   DETAIL
107        3255.936  PRIVATE_MSG        tid=3   room=P  sem=49   msgs=3    Quinn
108        3255.937  SEM_POST           tid=3   room=-  sem=50   msgs=3    Quinn
109        3467.561  SEM_BLOCK          tid=2   room=-  sem=50   msgs=0    about to wait
110        3467.563  SEM_WAIT           tid=2   room=-  sem=49   msgs=0    ADMITTED
111        3467.564  ACQUIRED_LOCK      tid=2   room=C  sem=-1   msgs=0    Rose
112        3467.962  RELEASED_LOCK      tid=2   room=C  sem=-1   msgs=0    Rose
113        3467.963  MSG_BROADCAST      tid=2   room=C  sem=49   msgs=3    Rose
114        3467.963  SEM_POST           tid=2   room=-  sem=50   msgs=3    Rose
115        3679.669  SEM_BLOCK          tid=7   room=-  sem=50   msgs=0    about to wait
116        3679.672  SEM_WAIT           tid=7   room=-  sem=49   msgs=0    ADMITTED
117        3679.672  ACQUIRED_LOCK      tid=7   room=A  sem=-1   msgs=0    Sam
118        3679.925  RELEASED_LOCK      tid=7   room=A  sem=-1   msgs=0    Sam
119        3679.926  MSG_BROADCAST      tid=7   room=A  sem=49   msgs=3    Sam
120        3679.926  SEM_POST           tid=7   room=-  sem=50   msgs=3    Sam
121        3887.241  SEM_BLOCK          tid=4   room=-  sem=50   msgs=0    about to wait
122        3887.244  SEM_WAIT           tid=4   room=-  sem=49   msgs=0    ADMITTED
123        3887.244  ACQUIRED_LOCK      tid=4   room=B  sem=-1   msgs=0    Tina
124        3887.316  RELEASED_LOCK      tid=4   room=B  sem=-1   msgs=0    Tina
125        3887.317  MSG_BROADCAST      tid=4   room=B  sem=49   msgs=3    Tina
126        3887.317  SEM_POST           tid=4   room=-  sem=50   msgs=3    Tina
127        4002.971  SEM_BLOCK          tid=6   room=-  sem=50   msgs=0    about to wait
128        4002.973  SEM_WAIT           tid=6   room=-  sem=49   msgs=0    ADMITTED
129        4002.973  ACQUIRED_LOCK      tid=6   room=C  sem=-1   msgs=0    Alice
130        4003.031  RELEASED_LOCK      tid=6   room=C  sem=-1   msgs=0    Alice
131        4003.032  MSG_BROADCAST      tid=6   room=C  sem=49   msgs=3    Alice
132        4003.032  SEM_POST           tid=6   room=-  sem=50   msgs=3    Alice
133        4106.065  SEM_BLOCK          tid=5   room=-  sem=50   msgs=0    about to wait
134        4106.067  SEM_WAIT           tid=5   room=-  sem=49   msgs=0    ADMITTED
135        4106.067  ACQUIRED_LOCK      tid=5   room=A  sem=-1   msgs=0    Bob
136        4106.067  RELEASED_LOCK      tid=5   room=A  sem=-1   msgs=0    Bob
137        4106.067  MSG_BROADCAST      tid=5   room=A  sem=49   msgs=3    Bob
138        4106.068  SEM_POST           tid=5   room=-  sem=50   msgs=3    Bob
139        4199.309  SEM_BLOCK          tid=0   room=-  sem=50   msgs=0    about to wait
140        4199.311  SEM_WAIT           tid=0   room=-  sem=49   msgs=0    ADMITTED
141        4199.312  ACQUIRED_LOCK      tid=0   room=B  sem=-1   msgs=0    Charlie
142        4199.313  RELEASED_LOCK      tid=0   room=B  sem=-1   msgs=0    Charlie
143        4199.313  MSG_BROADCAST      tid=0   room=B  sem=49   msgs=3    Charlie
144        4199.313  SEM_POST           tid=0   room=-  sem=50   msgs=3    Charlie
145        4285.572  SEM_BLOCK          tid=1   room=-  sem=50   msgs=0    about to wait
146        4285.575  SEM_WAIT           tid=1   room=-  sem=49   msgs=0    ADMITTED
147        4285.576  ACQUIRED_LOCK      tid=1   room=C  sem=-1   msgs=0    Diana
148        4285.576  RELEASED_LOCK      tid=1   room=C  sem=-1   msgs=0    Diana
149        4285.577  MSG_BROADCAST      tid=1   room=C  sem=49   msgs=3    Diana
150        4285.577  SEM_POST           tid=1   room=-  sem=50   msgs=3    Diana
151        4370.625  SEM_BLOCK          tid=3   room=-  sem=50   msgs=0    about to wait
152        4370.627  SEM_WAIT           tid=3   room=-  sem=49   msgs=0    ADMITTED
153        4370.630  PRIVATE_MSG        tid=4   room=-  sem=-1   msgs=0    T4->T0 Eve
154        4370.657  PRIVATE_MSG        tid=3   room=P  sem=49   msgs=4    Eve
155        4370.657  SEM_POST           tid=3   room=-  sem=50   msgs=4    Eve
156        4446.877  SEM_BLOCK          tid=2   room=-  sem=50   msgs=0    about to wait
157        4446.879  SEM_WAIT           tid=2   room=-  sem=49   msgs=0    ADMITTED
158        4446.879  ACQUIRED_LOCK      tid=2   room=B  sem=-1   msgs=0    Frank
159        4446.880  RELEASED_LOCK      tid=2   room=B  sem=-1   msgs=0    Frank
160        4446.881  MSG_BROADCAST      tid=2   room=B  sem=49   msgs=4    Frank
161        4446.881  SEM_POST           tid=2   room=-  sem=50   msgs=4    Frank
162        4520.563  SEM_BLOCK          tid=7   room=-  sem=50   msgs=0    about to wait
163        4520.564  SEM_WAIT           tid=7   room=-  sem=49   msgs=0    ADMITTED
164        4520.565  ACQUIRED_LOCK      tid=7   room=C  sem=-1   msgs=0    Grace
165        4520.566  RELEASED_LOCK      tid=7   room=C  sem=-1   msgs=0    Grace
166        4520.566  MSG_BROADCAST      tid=7   room=C  sem=49   msgs=4    Grace
167        4520.566  SEM_POST           tid=7   room=-  sem=50   msgs=4    Grace
