EVENT_LOG | OS-Level Chat Server | 2026-04-24 02:38:11
----------------------------------------------------------------
LINE  TIMESTAMP_MS   EVENT              TID    ROOM   SEM    MSGS   DETAIL
142         563.452  RELEASED_LOCK      tid=1   room=B  sem=-1   msgs=0    Charlie
143         563.452  MSG_BROADCAST      tid=1   room=B  sem=49   msgs=3    Charlie
144         563.452  SEM_POST           tid=1   room=-  sem=50   msgs=3    Charlie
145         589.417  SEM_BLOCK          tid=6   room=-  sem=50   msgs=0    about to wait
146         589.422  SEM_WAIT           tid=6   room=-  sem=49   msgs=0    ADMITTED
147         589.424  ACQUIRED_LOCK      tid=6   room=C  sem=-1   msgs=0    Diana
148         589.424  RELEASED_LOCK      tid=6   room=C  sem=-1   msgs=0    Diana
149         589.424  MSG_BROADCAST      tid=6   room=C  sem=49   msgs=3    Diana
150         589.424  SEM_POST           tid=6   room=-  sem=50   msgs=3    Diana
151         611.710  SEM_BLOCK          tid=7   room=-  sem=50   msgs=0    about to wait
152         611.713  SEM_WAIT           tid=7   room=-  sem=49   msgs=0    ADMITTED
153         611.715  PRIVATE_MSG        tid=1   room=-  sem=-1   msgs=0    T1->T5 Eve
154         611.719  PRIVATE_MSG        tid=7   room=P  sem=49   msgs=3    Eve
155         611.719  SEM_POST           tid=7   room=-  sem=50   msgs=3    Eve
156         631.799  SEM_BLOCK          tid=2   room=-  sem=50   msgs=0    about to wait
157         631.803  SEM_WAIT           tid=2   room=-  sem=49   msgs=0    ADMITTED
158         631.805  ACQUIRED_LOCK      tid=2   room=B  sem=-1   msgs=0    Frank
159         631.806  RELEASED_LOCK      tid=2   room=B  sem=-1   msgs=0    Frank
160         631.806  MSG_BROADCAST      tid=2   room=B  sem=49   msgs=4    Frank
161         631.806  SEM_POST           tid=2   room=-  sem=50   msgs=4    Frank
162         653.425  SEM_BLOCK          tid=3   room=-  sem=50   msgs=0    about to wait
163         653.426  SEM_WAIT           tid=3   room=-  sem=49   msgs=0    ADMITTED
164         653.429  ACQUIRED_LOCK      tid=3   room=C  sem=-1   msgs=0    Grace
165         653.429  RELEASED_LOCK      tid=3   room=C  sem=-1   msgs=0    Grace
166         653.429  MSG_BROADCAST      tid=3   room=C  sem=49   msgs=4    Grace
167         653.430  SEM_POST           tid=3   room=-  sem=50   msgs=4    Grace
168         674.441  SEM_BLOCK          tid=4   room=-  sem=50   msgs=0    about to wait
