EVENT_LOG | OS-Level Chat Server | 2026-04-22 22:11:32
----------------------------------------------------------------
LINE  TIMESTAMP_MS   EVENT              TID    ROOM   SEM    MSGS   DETAIL
141        4404.975  ACQUIRED_LOCK      tid=6   room=B  sem=-1   msgs=0    Charlie
142        4404.981  RELEASED_LOCK      tid=6   room=B  sem=-1   msgs=0    Charlie
143        4404.981  MSG_BROADCAST      tid=6   room=B  sem=49   msgs=3    Charlie
144        4404.981  SEM_POST           tid=6   room=-  sem=50   msgs=3    Charlie
145        4605.128  SEM_BLOCK          tid=7   room=-  sem=50   msgs=0    about to wait
146        4605.130  SEM_WAIT           tid=7   room=-  sem=49   msgs=0    ADMITTED
147        4605.130  ACQUIRED_LOCK      tid=7   room=C  sem=-1   msgs=0    Diana
148        4605.133  RELEASED_LOCK      tid=7   room=C  sem=-1   msgs=0    Diana
149        4605.133  MSG_BROADCAST      tid=7   room=C  sem=49   msgs=3    Diana
150        4605.133  SEM_POST           tid=7   room=-  sem=50   msgs=3    Diana
151        4805.333  SEM_BLOCK          tid=0   room=-  sem=50   msgs=0    about to wait
152        4805.338  SEM_WAIT           tid=0   room=-  sem=49   msgs=0    ADMITTED
153        4805.340  PRIVATE_MSG        tid=1   room=-  sem=-1   msgs=0    T1->T0 Eve
154        4805.356  PRIVATE_MSG        tid=0   room=P  sem=49   msgs=4    Eve
155        4805.356  SEM_POST           tid=0   room=-  sem=50   msgs=4    Eve
156        5005.374  SEM_BLOCK          tid=1   room=-  sem=50   msgs=0    about to wait
157        5005.375  SEM_WAIT           tid=1   room=-  sem=49   msgs=0    ADMITTED
158        5005.375  ACQUIRED_LOCK      tid=1   room=B  sem=-1   msgs=0    Frank
159        5005.379  RELEASED_LOCK      tid=1   room=B  sem=-1   msgs=0    Frank
160        5005.379  MSG_BROADCAST      tid=1   room=B  sem=49   msgs=4    Frank
161        5005.379  SEM_POST           tid=1   room=-  sem=50   msgs=4    Frank
162        5205.551  SEM_BLOCK          tid=2   room=-  sem=50   msgs=0    about to wait
163        5205.552  SEM_WAIT           tid=2   room=-  sem=49   msgs=0    ADMITTED
164        5205.552  ACQUIRED_LOCK      tid=2   room=C  sem=-1   msgs=0    Grace
165        5205.555  RELEASED_LOCK      tid=2   room=C  sem=-1   msgs=0    Grace
166        5205.555  MSG_BROADCAST      tid=2   room=C  sem=49   msgs=4    Grace
167        5205.555  SEM_POST           tid=2   room=-  sem=50   msgs=4    Grace
168        5405.636  SEM_BLOCK          tid=3   room=-  sem=50   msgs=0    about to wait
169        5405.637  SEM_WAIT           tid=3   room=-  sem=49   msgs=0    ADMITTED
170        5405.638  ACQUIRED_LOCK      tid=3   room=A  sem=-1   msgs=0    Hank
171        5405.639  RELEASED_LOCK      tid=3   room=A  sem=-1   msgs=0    Hank
172        5405.639  MSG_BROADCAST      tid=3   room=A  sem=49   msgs=4    Hank
173        5405.639  SEM_POST           tid=3   room=-  sem=50   msgs=4    Hank
174        5605.870  SEM_BLOCK          tid=4   room=-  sem=50   msgs=0    about to wait
175        5605.873  SEM_WAIT           tid=4   room=-  sem=49   msgs=0    ADMITTED
176        5605.874  ACQUIRED_LOCK      tid=4   room=B  sem=-1   msgs=0    Iris
177        5605.879  RELEASED_LOCK      tid=4   room=B  sem=-1   msgs=0    Iris
178        5605.880  MSG_BROADCAST      tid=4   room=B  sem=49   msgs=4    Iris
179        5605.880  SEM_POST           tid=4   room=-  sem=50   msgs=4    Iris
180        5806.018  SEM_BLOCK          tid=5   room=-  sem=50   msgs=0    about to wait
181        5806.022  SEM_WAIT           tid=5   room=-  sem=49   msgs=0    ADMITTED
182        5806.022  ACQUIRED_LOCK      tid=5   room=C  sem=-1   msgs=0    Jack
183        5806.033  RELEASED_LOCK      tid=5   room=C  sem=-1   msgs=0    Jack
184        5806.033  MSG_BROADCAST      tid=5   room=C  sem=49   msgs=4    Jack
185        5806.034  SEM_POST           tid=5   room=-  sem=50   msgs=4    Jack
186        6006.157  SEM_BLOCK          tid=6   room=-  sem=50   msgs=0    about to wait
187        6006.161  SEM_WAIT           tid=6   room=-  sem=49   msgs=0    ADMITTED
188        6006.162  ACQUIRED_LOCK      tid=6   room=A  sem=-1   msgs=0    Karen
189        6006.172  RELEASED_LOCK      tid=6   room=A  sem=-1   msgs=0    Karen
190        6006.172  MSG_BROADCAST      tid=6   room=A  sem=49   msgs=4    Karen
191        6006.172  SEM_POST           tid=6   room=-  sem=50   msgs=4    Karen
192        6206.365  SEM_BLOCK          tid=7   room=-  sem=50   msgs=0    about to wait
193        6206.367  SEM_WAIT           tid=7   room=-  sem=49   msgs=0    ADMITTED
194        6206.367  ACQUIRED_LOCK      tid=7   room=B  sem=-1   msgs=0    Leo
195        6206.372  RELEASED_LOCK      tid=7   room=B  sem=-1   msgs=0    Leo
196        6206.372  MSG_BROADCAST      tid=7   room=B  sem=49   msgs=4    Leo
