EVENT_LOG | OS-Level Chat Server | 2026-04-15 21:08:52
----------------------------------------------------------------
LINE  TIMESTAMP_MS   EVENT              TID    ROOM   SEM    MSGS   DETAIL
108        4038.112  ACQUIRED_LOCK      tid=3   room=C  sem=-1   msgs=0    Alice
109        4038.113  RELEASED_LOCK      tid=3   room=C  sem=-1   msgs=0    Alice
110        4038.113  MSG_BROADCAST      tid=3   room=C  sem=49   msgs=3    Alice
111        4038.113  SEM_POST           tid=3   room=-  sem=50   msgs=3    Alice
112        4238.877  SEM_WAIT           tid=7   room=-  sem=49   msgs=0    ADMITTED
113        4238.878  ACQUIRED_LOCK      tid=7   room=A  sem=-1   msgs=0    Bob
114        4238.879  RELEASED_LOCK      tid=7   room=A  sem=-1   msgs=0    Bob
115        4238.879  MSG_BROADCAST      tid=7   room=A  sem=49   msgs=3    Bob
116        4238.879  SEM_POST           tid=7   room=-  sem=50   msgs=3    Bob
117        4440.980  SEM_WAIT           tid=0   room=-  sem=49   msgs=0    ADMITTED
118        4440.982  ACQUIRED_LOCK      tid=0   room=B  sem=-1   msgs=0    Charlie
119        4440.983  RELEASED_LOCK      tid=0   room=B  sem=-1   msgs=0    Charlie
120        4440.984  MSG_BROADCAST      tid=0   room=B  sem=49   msgs=4    Charlie
121        4440.984  SEM_POST           tid=0   room=-  sem=50   msgs=4    Charlie
122        4642.899  SEM_WAIT           tid=2   room=-  sem=49   msgs=0    ADMITTED
123        4642.900  ACQUIRED_LOCK      tid=2   room=C  sem=-1   msgs=0    Diana
124        4642.901  RELEASED_LOCK      tid=2   room=C  sem=-1   msgs=0    Diana
125        4642.901  MSG_BROADCAST      tid=2   room=C  sem=49   msgs=3    Diana
126        4642.990  SEM_POST           tid=2   room=-  sem=50   msgs=3    Diana
127        5651.524  SEM_WAIT           tid=6   room=-  sem=49   msgs=0    ADMITTED
128        5651.528  PRIVATE_MSG        tid=6   room=-  sem=-1   msgs=0    T6->T1 Eve
129        5651.536  PRIVATE_MSG        tid=6   room=P  sem=49   msgs=3    Eve
130        5651.536  SEM_POST           tid=6   room=-  sem=50   msgs=3    Eve
131        6655.033  SEM_WAIT           tid=1   room=-  sem=49   msgs=0    ADMITTED
132        6655.035  ACQUIRED_LOCK      tid=1   room=B  sem=-1   msgs=0    Frank
133        6655.036  RELEASED_LOCK      tid=1   room=B  sem=-1   msgs=0    Frank
134        6655.036  MSG_BROADCAST      tid=1   room=B  sem=49   msgs=4    Frank
135        6655.036  SEM_POST           tid=1   room=-  sem=50   msgs=4    Frank
136        7657.689  SEM_WAIT           tid=5   room=-  sem=49   msgs=0    ADMITTED
137        7657.692  ACQUIRED_LOCK      tid=5   room=C  sem=-1   msgs=0    Grace
138        7657.692  RELEASED_LOCK      tid=5   room=C  sem=-1   msgs=0    Grace
139        7657.693  MSG_BROADCAST      tid=5   room=C  sem=49   msgs=4    Grace
140        7657.693  SEM_POST           tid=5   room=-  sem=50   msgs=4    Grace
141        8660.359  SEM_WAIT           tid=4   room=-  sem=49   msgs=0    ADMITTED
142        8660.361  ACQUIRED_LOCK      tid=4   room=A  sem=-1   msgs=0    Hank
143        8660.362  RELEASED_LOCK      tid=4   room=A  sem=-1   msgs=0    Hank
144        8660.362  MSG_BROADCAST      tid=4   room=A  sem=49   msgs=4    Hank
145        8660.362  SEM_POST           tid=4   room=-  sem=50   msgs=4    Hank
146        9660.960  SEM_WAIT           tid=3   room=-  sem=49   msgs=0    ADMITTED
147        9660.962  ACQUIRED_LOCK      tid=3   room=B  sem=-1   msgs=0    Iris
148        9660.963  RELEASED_LOCK      tid=3   room=B  sem=-1   msgs=0    Iris
149        9660.963  MSG_BROADCAST      tid=3   room=B  sem=49   msgs=4    Iris
150        9660.963  SEM_POST           tid=3   room=-  sem=50   msgs=4    Iris
151       10662.794  SEM_WAIT           tid=7   room=-  sem=49   msgs=0    ADMITTED
152       10662.797  ACQUIRED_LOCK      tid=7   room=C  sem=-1   msgs=0    Jack
